AL,AM,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PR,RJ,RO,RS,SC,SE,SP,mean_brasil,timeline
4.19,4.7,4.35,3.38,3.74,3.72,3.71,3.75,3.8,4.03,3.99,4.61,3.3,3.82,3.74,4.38,5.39,4.57,4.86,4.31,4.35,4.128095238095237,2019-11-30
4.19,4.7,4.35,3.49,3.59,3.75,3.71,3.75,3.8,4.12,3.99,4.58,3.3,3.82,3.74,4.38,5.37,4.55,4.86,4.31,4.34,4.128095238095238,2019-12-31
4.19,4.7,4.35,3.5,3.54,3.76,3.71,3.81,3.8,4.12,4.09,4.6,3.29,4.05,3.76,4.38,5.37,4.62,4.92,4.31,4.31,4.151428571428572,2020-01-31
4.19,4.7,4.25,3.57,3.55,3.79,3.75,3.81,3.8,4.3,4.09,4.65,3.29,4.05,3.78,4.38,5.34,4.8,4.92,4.31,4.22,4.168571428571428,2020-02-29
4.19,4.24,4.25,3.57,3.64,3.79,3.75,3.81,3.8,4.3,4.09,4.69,3.29,4.21,3.83,4.38,5.37,4.88,4.91,4.3,4.22,4.167142857142856,2020-03-31
4.19,4.26,4.25,3.57,3.52,3.79,3.75,3.81,3.8,4.3,4.1,4.66,3.29,4.21,3.9,4.38,5.31,4.88,4.9,4.3,4.24,4.1623809523809525,2020-04-30
4.19,4.21,4.25,3.57,3.52,3.83,3.65,3.81,3.8,4.375,4.11,4.68,3.29,4.21,3.94,4.38,5.24,4.82,4.91,4.3,4.24,4.158333333333333,2020-05-31
4.19,4.21,3.8,3.57,3.36,3.83,3.65,3.83,3.8,4.375,4.12,4.7,3.29,4.21,3.88,4.38,5.38,4.82,4.91,4.3,4.25,4.135952380952381,2020-06-30
4.19,4.18,3.8,3.59,3.52,3.85,3.65,3.92,3.8,4.5,4.12,4.73,3.29,4.61,3.91,4.38,5.48,4.78,4.91,4.3,4.3,4.181428571428571,2020-07-31
4.92,4.51,3.89,4.49,3.73,3.9,3.77,3.92,4.27,4.635,4.23,4.79,3.29,5.32,4.14,4.45,6.64,5.32,4.98,4.3,4.4,4.471190476190476,2020-08-31
4.92,5.51,4.48,4.52,4.27,4.01,3.8,4.18,4.56,4.885,4.46,4.81,3.29,5.4,4.6,4.74,7.24,5.78,5.14,4.42,4.7,4.748333333333333,2020-09-30
4.92,5.38,4.75,4.85,4.95,4.13,3.84,4.18,4.99,5,6.5,5.97,4.46,5.95,5.22,4.92,7.74,7.13,5.21,4.64,4.94,5.222380952380951,2020-10-31
4.92,7.55,5.21,5.18,4.67,4.19,3.94,4.18,5.15,5.225,6.85,7.11,5.77,6.31,5.67,5.34,8.54,7.41,5.35,4.64,5.28,5.642142857142857,2020-11-30
4.92,7.8,5.53,5.18,4.58,4.67,3.94,4.38,5.59,5.225,6.86,7.65,5.77,7.25,6.36,5.85,9.48,7.76,5.38,4.64,5.33,5.911666666666666,2020-12-31
6.2,7.65,5.78,5.51,4.76,5.04,4.48,4.68,6.18,5.32,6.89,7.81,7.33,9.32,6.36,6.48,9.5,8.93,5.79,4.78,5.74,6.406190476190476,2021-01-31
6.92,8.8,6.55,6.15,5.33,5.11,4.48,6.28,6.65,5.345,7.01,8.33,7.29,10.13,6.36,6.99,10.03,9.28,6.01,5.8,6.15,...,2021-02-28
6.92,8.65,7.26,6.3,6.38,5.75,4.48,6.28,7.35,5.725,10.16,8.46,7.29,10.94,6.44,7.84,10.24,9.62,6.35,5.8,6.59,...,2021-03-31
8.56,8.5,7.51,7.14,6.22,6.27,5.37,6.39,7.9,6,10.71,8.8,7.65,10.94,6.91,8.52,11.03,10.29,6.78,6.75,7.14,...,2021-04-30
9.21,10.3,7.81,7.26,6.66,6.44,6.23,6.71,8.66,7.265,10.9,8.92,7.35,9.99,7.42,8.89,13.08,10.76,6.86,6.75,7.33,...,2021-05-31
9.21,9.55,7.46,7.26,6.99,6.69,6.56,6.85,8.84,8.095,11.54,9,7.29,9.99,8.59,8.89,12.48,11.16,6.87,6.75,7.6,...,2021-06-30
9.21,9.99,7.63,7.26,7.46,7.05,6.56,6.82,8.84,8.095,12.53,9.09,8.62,9.99,8.68,8.89,12.32,11.24,7.12,6.88,8.02,...,2021-07-31
10.2,9.25,8.24,7.62,7.47,7.05,6.5,6.82,8.68,8.095,12.54,8.99,9.1,9.99,8.21,8.89,12.19,11.43,7.15,6.88,8.11,...,2021-08-31
